State,Location,Date Posted,Date Collected,Sample Type,Unit,Ba-140,Co-60,Cs-134,Cs-136,Cs-137,I-131,I-132,I-133,Te-129,Te-129m,Te-132
NM,Albuquerque,04/06/2011,03/29/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NM,Albuquerque,04/16/2011,04/12/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TN,Athens,04/09/2011,03/31/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TN,Athens,04/20/2011,04/14/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
MD,Baltimore,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
MD,Baltimore,04/22/2011,04/15/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NY,Buffalo,04/09/2011,04/01/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NY,Buffalo,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
WV,Charleston,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
WV,Charleston,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OH,Cincinnati,04/09/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OH,Cincinnati,04/09/2011,03/31/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OH,Cincinnati ,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OH,Cleveland,04/09/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OH,Cleveland,04/09/2011,03/31/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OH,Cleveland,04/20/2011,04/14/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TX,Dallas,04/09/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TX,Dallas,04/16/2011,04/12/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
IA,Des Moines,04/02/2011,03/21/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
IA,Des Moines,04/06/2011,03/29/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
MI,Detroit,04/06/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
DE,Dover,04/09/2011,04/01/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
MI,E. Lansing ,04/20/2011,04/12/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CT,Hartford,04/25/2011,04/12/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CT,Hartford,04/26/2011,04/20/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
HI,Hilo,04/10/2011,04/04/2011,Milk,pCi/l,Non-detect,Non-detect,24,Non-detect,19,18,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
HI,Hilo,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,11,Non-detect,10,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
MO,Jefferson City,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
MO,Jefferson City ,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,3,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TN,Knoxville,04/09/2011,03/31/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TN,Knoxville,04/20/2011,04/14/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NV,Las Vegas,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
AR,Little Rock,04/09/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,8.9,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
AR,Little Rock,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CA,Los Angeles,04/06/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,2.9,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CA,Los Angeles,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,4,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
KY,Louisville,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
KY,Louisville ,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TN,Memphis,04/16/2011,04/11/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,4,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
VT,Montpelier,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,1.9,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CA,Oakland ,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,2.5,Non-detect,Non-detect,3.7,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
AZ,Phoenix,04/06/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,3.2,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
AZ,Phoenix,04/09/2011,03/29/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
PA,Pittsburgh,04/09/2011,03/31/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
PA,Pittsburgh,04/16/2011,04/05/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
FL,Plant City,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
FL,Plant City,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OR,Portland,04/06/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
OR,Portland,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NV,Reno,04/13/2011,03/31/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NV,Reno,04/10/2011,04/04/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NV,Reno,04/25/2011,04/18/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TX,San Antonio,04/08/2011,03/30/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
TX,San Antonio,04/26/2011,04/19/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
CA,San Francisco,04/06/2011,03/28/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
WA,Spokane,04/04/2011,03/21/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
WA,Spokane,04/02/2011,03/25/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,0.77,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
WA,Spokane,04/16/2011,04/12/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NY,Syracuse,04/08/2011,03/29/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NY,Syracuse,04/20/2011,04/13/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
WA,Tacoma,04/04/2011,03/24/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
WA,Tacoma,05/03/2011,04/24/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NJ,Trenton,04/09/2011,03/31/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
NJ,Trenton,04/22/2011,04/15/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
KS,Wichita,04/08/2011,03/29/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
KS,Wichita,04/20/2011,04/12/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
DE,Wilmington,04/25/2011,04/18/2011,Milk,pCi/l,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect,Non-detect
